modifie,par
"DECRET EXECUTIF n° 94-50 — portant création du comité national de sûreté de l'aviation civile et de comités de sûreté d'aéroports","DECRET EXECUTIF n° 09-314 — complétant le décret exécutif n° 94-50 portant création du comité national de sûreté de l'aviation civile et de comités de sûreté d'aéroports"
"LOI n° 90-08 — relative à la commune","DECRET EXECUTIF n° 09-315 — définissant les catégories de voiries et de réseaux publics de viabilité et les modalités de leur prise en charge"
"LOI n° 90-09 — relative à la wilaya","DECRET EXECUTIF n° 09-315 — définissant les catégories de voiries et de réseaux publics de viabilité et les modalités de leur prise en charge"
"LOI n° 90-29 — relative à l'aménagement et l'urbanisme","DECRET EXECUTIF n° 09-315 — définissant les catégories de voiries et de réseaux publics de viabilité et les modalités de leur prise en charge"
"LOI n° 90-30 — portant loi domaniale","DECRET EXECUTIF n° 09-315 — définissant les catégories de voiries et de réseaux publics de viabilité et les modalités de leur prise en charge"
"LOI n° 91-11 — fixant les règles générales relatives à l'expropriation pour cause d'utilité publique","DECRET EXECUTIF n° 09-315 — définissant les catégories de voiries et de réseaux publics de viabilité et les modalités de leur prise en charge"
"LOI n° 05-12 — relative à l'eau","DECRET EXECUTIF n° 09-315 — définissant les catégories de voiries et de réseaux publics de viabilité et les modalités de leur prise en charge"
"DECRET EXECUTIF n° 91-176 — fixant les modalités d'instruction et de délivrance du certificat d'urbanisme, du permis de lotir, du certificat de morcellement, du permis de construire, du certificat de conformité et du permis de démolir","DECRET EXECUTIF n° 09-315 — définissant les catégories de voiries et de réseaux publics de viabilité et les modalités de leur prise en charge"
"DECRET EXECUTIF n° 91-177 — fixant les procédures d'élaboration et d'approbation du plan directeur d'aménagement et d'urbanisme ainsi que le contenu des documents y afférents","DECRET EXECUTIF n° 09-315 — définissant les catégories de voiries et de réseaux publics de viabilité et les modalités de leur prise en charge"
"DECRET EXECUTIF n° 91-178 — fixant les procédures d'élaboration et d'approbation du plan d'occupation des sols et le contenu des documents y afférents","DECRET EXECUTIF n° 09-315 — définissant les catégories de voiries et de réseaux publics de viabilité et les modalités de leur prise en charge"
"LOI n° 81-07 — relative à l'apprentissage","DECRET EXECUTIF n° 09-316 — fixant le statut de l'institut national de la formation et de l'enseignement professionnels (INFEP)"
"LOI n° 90-21 — relative à la comptabilité publique","DECRET EXECUTIF n° 09-316 — fixant le statut de l'institut national de la formation et de l'enseignement professionnels (INFEP)"
"DECRET EXECUTIF n° 91-54 — relatif aux missions, à l'organisation et au fonctionnement de l'institut national de la formation professionnelle","DECRET EXECUTIF n° 09-316 — fixant le statut de l'institut national de la formation et de l'enseignement professionnels (INFEP)"
"DECRET EXECUTIF n° 89-122 — modifié et complété, portant statut particulier des travailleurs appartenant aux corps spécifiques de l'enseignement et de la formation supérieurs","DECRET EXECUTIF n° 10-133 — portant statut particulier des fonctionnaires appartenant aux corps spécifiques de l'enseignement supérieur."
"LOI n° 84-17 — relative aux lois de finances","DECRET PRESIDENTIEL n° 12-413 — portant transfert de crédits au budget de fonctionnement du ministère de l'intérieur et des collectivités locales"
"LOI n° 84-17 — relative aux lois de finances","DECRET PRESIDENTIEL n° 12-414 — portant transfert de crédits au budget de fonctionnement du ministère des affaires étrangères"
"LOI n° 84-17 — relative aux lois de finances","DECRET EXECUTIF n° 12-421 — modifiant la répartition par secteur des dépenses d'équipement de l'Etat pour 2012"
"DECRET EXECUTIF n° 98-227 — relatif aux dépenses d'équipement de l'Etat","DECRET EXECUTIF n° 12-421 — modifiant la répartition par secteur des dépenses d'équipement de l'Etat pour 2012"
"LOI n° 84-17 — relative aux lois de finances","DECRET EXECUTIF n° 12-422 — portant virement de crédits au sein du budget de fonctionnement du ministère de la justice"
"ARRETE — du 25 Moharram 1434 correspondant au 9 décembre 2012 fixant la forme et les caractéristiques techniques du bulletin de vote à utiliser pour l'élection en vue du renouvellement de la moitié des membres élus du Conseil de la Nation","ARRETE — modifiant l'arrêté du 25 Moharram 1434 correspondant au 9 décembre 2012 fixant la forme et les caractéristiques techniques du bulletin de vote à utiliser pour l'élection en vue du renouvellement de la moitié des membres élus du Conseil de la Nation"
"DECRET EXECUTIF n° 90-39 — relatif au contrôle de la qualité et à la répression des fraudes","ARRETE — rendant obligatoire la méthode de détermination de l'indice d'acide et d'acidité des corps gras d'origine animale et végétale"
"DECRET EXECUTIF n° 95-173 — fixant les modalités de fonctionnement du compte d'affectation spéciale n° 302-080 intitulé «Fonds national d'aide à la pêche artisanale et à l'aquaculture »","DECRET EXECUTIF n° 13-214 — complétant le décret exécutif n° 95-173 du 25 Moharram 1416 correspondant au 24 juin 1995 fixant les modalités de fonctionnement du compte d'affectation spéciale n° 302-080 intitulé «Fonds national d'aide à la pêche artisanale et à l'aquaculture »"
"ARRETE — portant placement en position d'activité auprès du ministère de l'intérieur et des collectivités locales de certains corps spécifiques aux ministères de l'équipement et de l'habitat","ARRETE — portant placement en position d'activité auprès du ministère de l'intérieur et des collectivités locales et des services déconcentrés en relevant, de certains corps spécifiques de l'administration chargée de l'habitat et de l'urbanisme"
"ARRETE — fixant la liste des aérodromes mixtes d'Etat","ARRETE — complétant l'annexe de l'arrêté interministériel du 2 Dhou El Kaada 1423 correspondant au 4 janvier 2003 fixant la liste des aérodromes mixtes d'Etat"
"ARRETE — fixant la liste nominative des membres du conseil d'administration de l'orchestre symphonique national","ARRETE — fixant la liste nominative des membres du conseil d'administration de l'orchestre symphonique national"
"ORDONNANCE n° 03-11 — relative à la monnaie et au crédit","LOI n° 17-10 — complétant l'ordonnance n° 03-11 du 27 Joumada Ethania 1424 correspondant au 26 août 2003 relative à la monnaie et au crédit."
"DECRET EXECUTIF n° 90-361 — portant création des fonctions supérieures de secrétaire général adjoint et d'ambassadeur conseiller, au titre de l'administration centrale du ministère des affaires étrangères","DÉCRET PRÉSIDENTIEL n° 17-262 — portant organisation de l'administration centrale du ministère des affaires étrangères."
"DECRET PRESIDENTIEL n° 08-162 — portant organisation de l'administration centrale du ministère des affaires étrangères","DÉCRET PRÉSIDENTIEL n° 17-262 — portant organisation de l'administration centrale du ministère des affaires étrangères."
"ARRETE du 28 mars 2016 — portant désignation des membres de la commission sectorielle des marchés du ministère de la formation et de l'enseignement professionnels","ARRÊTÉ — modifiant l'arrêté du 19 Joumada Ethania 1437 correspondant au 28 mars 2016 portant désignation des membres de la commission sectorielle des marchés du ministère de la formation et de l'enseignement professionnels."
"ARRETE du 23 juillet 2016 — fixant la liste nominative des membres du comité national d'examen du plan national d'action environnementale et du développement durable","ARRÊTÉ — modifiant l'arrêté du 18 Chaoual 1437 correspondant au 23 juillet 2016 fixant la liste nominative des membres du comité national d'examen du plan national d'action environnementale et du développement durable."
"ORDONNANCE n° 66-155 — portant code de procédure pénale","LOI n° 18-06 — modifiant et complétant l'ordonnance n° 66-155 du 8 juin 1966 portant code de procédure pénale"
"ARRETE — fixant les effectifs par emploi, leur classification et la durée du contrat des agents exerçant des activités d'entretien, de maintenance ou de service, au titre de la direction générale des douanes","ARRETE — modifiant l'arrêté interministériel du 2 Ramadhan 1432 correspondant au 2 août 2011 fixant les effectifs par emploi, leur classification et la durée du contrat des agents exerçant des activités d'entretien, de maintenance ou de service, au titre de la direction générale des douanes"
"DECRET EXECUTIF n° 12-176 — portant déclaration d'utilité publique l'opération relative à la réalisation de zones industrielles dans certaines wilayas","DECRET EXECUTIF n° 18-167 — portant déclaration d'utilité publique l'opération relative à la réalisation de zones industrielles dans certaines wilayas"
"DECRET EXECUTIF n° 14-292 — portant déclassement de parcelles de terres agricoles affectées pour la réalisation de zones industrielles dans certaines wilayas","DECRET EXECUTIF n° 18-168 — portant déclassement de parcelles de terres agricoles affectées pour la réalisation de zones industrielles dans certaines wilayas"
"DECRET EXECUTIF n° 16-163 — fixant les modalités de fonctionnement du compte d'affectation spéciale n° 302-124 intitulé ""Fonds national de mise à niveau des PME, d'appui à l'investissement et de la promotion de la compétitivité industrielle""","DECRET EXECUTIF n° 18-169 — modifiant et complétant le décret exécutif n° 16-163 fixant les modalités de fonctionnement du compte d'affectation spéciale n° 302-124 intitulé ""Fonds national d'appui au développement des PME, d'appui à l'investissement et de la promotion de la compétitivité industrielle"" "
"DECRET EXECUTIF n° 05-165 — portant création, organisation et fonctionnement de l'agence nationale de développement de la PME","DECRET EXECUTIF n° 18-170 — fixant les missions, l'organisation et le fonctionnement de l'agence de développement de la PME et de la promotion de l'innovation"
"DECRET EXECUTIF n° 03-78 — portant statut-type des pépinières d'entreprises","DECRET EXECUTIF n° 18-170 — fixant les missions, l'organisation et le fonctionnement de l'agence de développement de la PME et de la promotion de l'innovation"
"DECRET EXECUTIF n° 03-79 — fixant la nature juridique, les missions et l'organisation des centres de facilitation des petites et moyennes entreprises","DECRET EXECUTIF n° 18-170 — fixant les missions, l'organisation et le fonctionnement de l'agence de développement de la PME et de la promotion de l'innovation"
"ARRETE — portant création de commissions paritaires compétentes à l'égard des corps des fonctionnaires de l'administration centrale du ministère de l'agriculture et du développement rural","ARRETE — modifiant et complétant l'arrêté du 27 Dhou El Hidja 1425 correspondant au 8 janvier 2005 portant création de commissions administratives paritaires compétentes à l'égard des corps des fonctionnaires de l'administration centrale du ministère de l'agriculture, du développement rural et de la pêche"
"ARRETE — portant désignation des membres de la commission sectorielle des marchés publics du ministère des ressources en eau","ARRETE — modifiant l'arrêté du 4 Joumada El Oula 1439 correspondant au 22 janvier 2018 portant désignation des membres de la commission sectorielle des marchés publics du ministère des ressources en eau"
"LOI n° 84-17 — relative aux lois de finances","DECRET EXECUTIF n° 19-371 — modifiant la répartition par secteur des dépenses d'équipement de l'Etat pour 2019"
"DECRET PRESIDENTIEL n° 19-111 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 19-371 — modifiant la répartition par secteur des dépenses d'équipement de l'Etat pour 2019"
"DECRET EXECUTIF n° 98-227 — relatif aux dépenses d'équipement de l'Etat","DECRET EXECUTIF n° 19-371 — modifiant la répartition par secteur des dépenses d'équipement de l'Etat pour 2019"
"LOI n° 84-17 — relative aux lois de finances","DECRET EXECUTIF n° 19-372 — modifiant la répartition par secteur des dépenses d'équipement de l'Etat pour 2019"
"DECRET PRESIDENTIEL n° 19-111 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 19-372 — modifiant la répartition par secteur des dépenses d'équipement de l'Etat pour 2019"
"DECRET EXECUTIF n° 98-227 — relatif aux dépenses d'équipement de l'Etat","DECRET EXECUTIF n° 19-372 — modifiant la répartition par secteur des dépenses d'équipement de l'Etat pour 2019"
"LOI n° 84-17 — relative aux lois de finances","DECRET EXECUTIF n° 19-373 — portant virement de crédits au sein du budget de fonctionnement du ministère de l'intérieur, des collectivités locales et de l'aménagement du territoire"
"DECRET PRESIDENTIEL n° 19-111 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 19-373 — portant virement de crédits au sein du budget de fonctionnement du ministère de l'intérieur, des collectivités locales et de l'aménagement du territoire"
"LOI n° 84-17 — relative aux lois de finances","DECRET EXECUTIF n° 19-374 — portant virement de crédits au sein du budget de fonctionnement du ministère de la formation et de l'enseignement professionnels"
"DECRET PRESIDENTIEL n° 19-111 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 19-374 — portant virement de crédits au sein du budget de fonctionnement du ministère de la formation et de l'enseignement professionnels"
"LOI n° 84-17 — relative aux lois de finances","DECRET EXECUTIF n° 19-375 — portant virement de crédits au sein du budget de fonctionnement du ministère de la jeunesse et des sports"
"DECRET PRESIDENTIEL n° 19-111 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 19-375 — portant virement de crédits au sein du budget de fonctionnement du ministère de la jeunesse et des sports"
"LOI n° 84-17 — relative aux lois de finances","DECRET EXECUTIF n° 19-376 — portant virement de crédits au sein du budget de fonctionnement du ministère de l'habitat, de l'urbanisme et de la ville"
"DECRET PRESIDENTIEL n° 19-111 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 19-376 — portant virement de crédits au sein du budget de fonctionnement du ministère de l'habitat, de l'urbanisme et de la ville"
"LOI n° 84-17 — relative aux lois de finances","DECRET EXECUTIF n° 19-377 — portant virement de crédits au sein du budget de fonctionnement du ministère du tourisme et de l'artisanat"
"DECRET PRESIDENTIEL n° 19-111 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 19-377 — portant virement de crédits au sein du budget de fonctionnement du ministère du tourisme et de l'artisanat"
"ORDONNANCE n° 75-59 — portant code de commerce","DECRET EXECUTIF n° 19-378 — portant réaménagement du statut de l'agence nationale des loisirs de la jeunesse"
"LOI n° 90-11 — relative aux relations de travail","DECRET EXECUTIF n° 19-378 — portant réaménagement du statut de l'agence nationale des loisirs de la jeunesse"
"LOI n° 90-30 — portant loi domaniale","DECRET EXECUTIF n° 19-378 — portant réaménagement du statut de l'agence nationale des loisirs de la jeunesse"
"DECRET n° 86-341 — fixant les conditions de création, d'organisation et de fonctionnement des centres de vacances et de loisirs pour jeunes","DECRET EXECUTIF n° 19-378 — portant réaménagement du statut de l'agence nationale des loisirs de la jeunesse"
"DECRET PRESIDENTIEL n° 19-111 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 19-378 — portant réaménagement du statut de l'agence nationale des loisirs de la jeunesse"
"DECRET EXECUTIF n° 89-215 — portant création de l'agence nationale des loisirs de la jeunesse","DECRET EXECUTIF n° 19-378 — portant réaménagement du statut de l'agence nationale des loisirs de la jeunesse"
"DECRET PRESIDENTIEL n° 01-197 — fixant les attributions et l'organisation des services de la Présidence de la République","DECRET PRESIDENTIEL du 2 Joumada El Oula 1441 — portant nomination du ministre conseiller à la communication, porte parole officiel de la Présidence de la République"
"DECRET PRESIDENTIEL n° 15-140 — portant création de circonscriptions administratives dans certaines wilayas et fixant les règles particulières qui leur sont liées","ARRETE du 16 Safar 1441 — portant organisation de la direction déléguée de la programmation et du suivi budgétaire de la circonscription administrative, en services et en bureaux"
"DECRET PRESIDENTIEL n° 19-111 — portant nomination des membres du Gouvernement","ARRETE du 16 Safar 1441 — portant organisation de la direction déléguée de la programmation et du suivi budgétaire de la circonscription administrative, en services et en bureaux"
"LOI n° 18-11 — relative à la santé","ORDONNANCE n° 20-02 — modifiant et complétant la loi n° 18-11 du 18 Chaoual 1439 correspondant au 2 juillet 2018 relative à la santé."
"DECRET EXECUTIF n° 20-98 — portant déclassement de parcelles de terres agricoles destinées à la réalisation de logements et équipements publics au niveau de certaines wilayas","DECRET EXECUTIF n° 20-98 — portant déclassement de parcelles de terres agricoles destinées à la réalisation de logements et équipements publics au niveau de certaines wilayas (rectificatif)."
"ARRETE — portant nomination des membres du conseil d'administration de l'office national d'appareillages et accessoires pour personnes handicapées","ARRETE — modifiant l'arrêté du 22 Joumada Ethania 1440 correspondant au 27 février 2019 portant nomination des membres du conseil d'administration de l'office national d'appareillages et accessoires pour personnes handicapées."
"LOI n° 90-25 — portant orientation foncière","DECRET EXECUTIF n° 21-54 — portant création et délimitation du secteur sauvegardé du Ksar d' El Mizane"
"LOI n° 90-29 — relative à l'aménagement et à l'urbanisme","DECRET EXECUTIF n° 21-54 — portant création et délimitation du secteur sauvegardé du Ksar d' El Mizane"
"LOI n° 90-30 — portant loi domaniale","DECRET EXECUTIF n° 21-54 — portant création et délimitation du secteur sauvegardé du Ksar d' El Mizane"
"DECRET PRESIDENTIEL n° 20-163 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 21-54 — portant création et délimitation du secteur sauvegardé du Ksar d' El Mizane"
"DECRET EXECUTIF n° 01-104 — portant composition, organisation et fonctionnement de la commission nationale et de la commission de wilaya des biens culturels","DECRET EXECUTIF n° 21-54 — portant création et délimitation du secteur sauvegardé du Ksar d' El Mizane"
"DECRET EXECUTIF n° 03-324 — portant modalités d'établissement du plan permanent de sauvegarde et de mise en valeur des secteurs sauvegardés","DECRET EXECUTIF n° 21-54 — portant création et délimitation du secteur sauvegardé du Ksar d' El Mizane"
"LOI n° 90-25 — portant orientation foncière","DECRET EXECUTIF n° 21-55 — portant création et délimitation du secteur sauvegardé du Ksar d'Azzelouaz"
"LOI n° 90-29 — relative à l'aménagement et à l'urbanisme","DECRET EXECUTIF n° 21-55 — portant création et délimitation du secteur sauvegardé du Ksar d'Azzelouaz"
"LOI n° 90-30 — portant loi domaniale","DECRET EXECUTIF n° 21-55 — portant création et délimitation du secteur sauvegardé du Ksar d'Azzelouaz"
"DECRET PRESIDENTIEL n° 20-163 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 21-55 — portant création et délimitation du secteur sauvegardé du Ksar d'Azzelouaz"
"DECRET EXECUTIF n° 01-104 — portant composition, organisation et fonctionnement de la commission nationale et de la commission de wilaya des biens culturels","DECRET EXECUTIF n° 21-55 — portant création et délimitation du secteur sauvegardé du Ksar d'Azzelouaz"
"DECRET EXECUTIF n° 03-324 — portant modalités d'établissement du plan permanent de sauvegarde et de mise en valeur des secteurs sauvegardés","DECRET EXECUTIF n° 21-55 — portant création et délimitation du secteur sauvegardé du Ksar d'Azzelouaz"
"LOI n° 90-25 — portant orientation foncière","DECRET EXECUTIF n° 21-56 — portant création et délimitation du secteur sauvegardé du Ksar d'Adjahil"
"LOI n° 90-29 — relative à l'aménagement et à l'urbanisme","DECRET EXECUTIF n° 21-56 — portant création et délimitation du secteur sauvegardé du Ksar d'Adjahil"
"LOI n° 90-30 — portant loi domaniale","DECRET EXECUTIF n° 21-56 — portant création et délimitation du secteur sauvegardé du Ksar d'Adjahil"
"DECRET PRESIDENTIEL n° 20-163 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 21-56 — portant création et délimitation du secteur sauvegardé du Ksar d'Adjahil"
"DECRET EXECUTIF n° 01-104 — portant composition, organisation et fonctionnement de la commission nationale et de la commission de wilaya des biens culturels","DECRET EXECUTIF n° 21-56 — portant création et délimitation du secteur sauvegardé du Ksar d'Adjahil"
"DECRET EXECUTIF n° 03-324 — portant modalités d'établissement du plan permanent de sauvegarde et de mise en valeur des secteurs sauvegardés","DECRET EXECUTIF n° 21-56 — portant création et délimitation du secteur sauvegardé du Ksar d'Adjahil"
"DECRET EXECUTIF n° 13-187 — portant création et délimitation du secteur sauvegardé de la vieille ville de Béjaïa","DECRET EXECUTIF n° 21-57 — modifiant et complétant le décret exécutif n° 13-187 du 6 mai 2013 portant création et délimitation du secteur sauvegardé de la vieille ville de Béjaïa"
"DECRET PRESIDENTIEL n° 20-163 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 21-57 — modifiant et complétant le décret exécutif n° 13-187 du 6 mai 2013 portant création et délimitation du secteur sauvegardé de la vieille ville de Béjaïa"
"DECRET EXECUTIF n° 15-340 — relatif au non cumul entre la responsabilité exécutive et élective et la responsabilité administrative au sein des structures d'organisation et d'animation sportives","DECRET EXECUTIF n° 21-60 — modifiant et complétant le décret exécutif n° 15-340 du 28 décembre 2015 relatif au non cumul entre la responsabilité exécutive et élective et la responsabilité administrative au sein des structures d'organisation et d'animation sportives"
"DECRET PRESIDENTIEL n° 20-163 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 21-60 — modifiant et complétant le décret exécutif n° 15-340 du 28 décembre 2015 relatif au non cumul entre la responsabilité exécutive et élective et la responsabilité administrative au sein des structures d'organisation et d'animation sportives"
"ARRETE interministériel — fixant la liste des maladies, des blessures et des handicaps ouvrant droit au bénéfice de la pension d'invalidité de moudjahid","ARRÊTÉ interministériel du 30 Joumada El Oula 1442 — modifiant et complétant l'arrêté interministériel du 27 avril 2003 fixant la liste des maladies, des blessures et des handicaps ouvrant droit au bénéfice de la pension d'invalidité de moudjahid"
"ARRETE — portant désignation des membres de la commission nationale de baptisation ou de débaptisation","ARRÊTÉ du 26 Joumada El Oula 1442 — modifiant l'arrêté du 26 juin 2018 portant désignation des membres de la commission nationale de baptisation ou de débaptisation"
"ARRETE — portant désignation des membres de la commission sectorielle des marchés du ministère de l'agriculture et du développement rural","ARRÊTÉ du 16 Joumada El Oula 1442 — modifiant et complétant l'arrêté du 27 septembre 2020 portant désignation des membres de la commission sectorielle des marchés du ministère de l'agriculture et du développement rural"
"DECRET PRESIDENTIEL n° 20-163 — portant nomination des membres du Gouvernement","ARRÊTÉ du 22 Rabie Ethani 1442 — portant homologation des indices des salaires et matières du 1er trimestre 2020, utilisés dans les formules d'actualisation et de révision des prix des marchés de travaux du secteur du bâtiment, des travaux publics et de l'hydraulique (BTPH)"
"DECRET EXECUTIF n° 91-145 — portant statuts de la caisse nationale du logement (C.N.L.)","ARRÊTÉ du 22 Rabie Ethani 1442 — portant homologation des indices des salaires et matières du 1er trimestre 2020, utilisés dans les formules d'actualisation et de révision des prix des marchés de travaux du secteur du bâtiment, des travaux publics et de l'hydraulique (BTPH)"
"LOI n° 84-17 — relative aux lois de finances","DECRET PRESIDENTIEL n° 21-180 — portant création de chapitres et transfert de crédits au budget de l'Etat"
"LOI n° 84-17 — relative aux lois de finances","DECRET PRESIDENTIEL n° 21-181 — portant transfert de crédits au budget de fonctionnement du ministère de la culture et des arts"
"LOI n° 84-17 — relative aux lois de finances","DECRET PRESIDENTIEL n° 21-182 — portant transfert de crédits au budget de fonctionnement du ministère de la santé, de la population et de la réforme hospitalière"
"LOI n° 84-17 — relative aux lois de finances","DECRET PRESIDENTIEL n° 21-183 — portant transfert de crédits au budget des charges communes"
"LOI n° 84-17 — relative aux lois de finances","DECRET PRESIDENTIEL n° 21-184 — portant transfert de crédits au budget de fonctionnement du ministère de l'industrie pharmaceutique"
"DECRET PRESIDENTIEL n° 21-78 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 21-176 — définissant les modalités d'octroi des taux réduits de la redevance hydrocarbures et de l'impôt sur le revenu des hydrocarbures"
"DECRET EXECUTIF n° 15-302 — fixant les attributions du ministre de l'énergie","DECRET EXECUTIF n° 21-176 — définissant les modalités d'octroi des taux réduits de la redevance hydrocarbures et de l'impôt sur le revenu des hydrocarbures"
"DECRET PRESIDENTIEL n° 21-78 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 21-177 — fixant les taux d'amortissement des investissements applicables pour les besoins de calcul de l'impôt sur le résultat"
"DECRET EXECUTIF n° 15-302 — fixant les attributions du ministre de l'énergie","DECRET EXECUTIF n° 21-177 — fixant les taux d'amortissement des investissements applicables pour les besoins de calcul de l'impôt sur le résultat"
"LOI n° 04-04 — relative à la normalisation","DECRET EXECUTIF n° 21-178 — définissant les prescriptions techniques relatives au comptage des hydrocarbures pour les activités de transport par canalisation des hydrocarbures"
"DECRET PRESIDENTIEL n° 21-78 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 21-178 — définissant les prescriptions techniques relatives au comptage des hydrocarbures pour les activités de transport par canalisation des hydrocarbures"
"DECRET EXECUTIF n° 15-302 — fixant les attributions du ministre de l'énergie","DECRET EXECUTIF n° 21-178 — définissant les prescriptions techniques relatives au comptage des hydrocarbures pour les activités de transport par canalisation des hydrocarbures"
"ORDONNANCE n° 75-58 — portant code civil","DECRET EXECUTIF n° 21-179 — portant création de l'office national des wakfs et de la zakat et fixant son statut"
"ORDONNANCE n° 75-59 — portant code de commerce","DECRET EXECUTIF n° 21-179 — portant création de l'office national des wakfs et de la zakat et fixant son statut"
"LOI n° 84-17 — relative aux lois de finances","DECRET EXECUTIF n° 21-179 — portant création de l'office national des wakfs et de la zakat et fixant son statut"
"LOI n° 88-01 — portant loi d'orientation sur les entreprises publiques économiques","DECRET EXECUTIF n° 21-179 — portant création de l'office national des wakfs et de la zakat et fixant son statut"
"LOI n° 90-11 — relative aux relations de travail","DECRET EXECUTIF n° 21-179 — portant création de l'office national des wakfs et de la zakat et fixant son statut"
"LOI n° 90-21 — relative à la comptabilité publique","DECRET EXECUTIF n° 21-179 — portant création de l'office national des wakfs et de la zakat et fixant son statut"
"LOI n° 90-25 — portant orientation foncière","DECRET EXECUTIF n° 21-179 — portant création de l'office national des wakfs et de la zakat et fixant son statut"
"LOI n° 91-10 — relative aux biens wakfs","DECRET EXECUTIF n° 21-179 — portant création de l'office national des wakfs et de la zakat et fixant son statut"
"DECRET PRESIDENTIEL n° 21-78 — portant nomination des membres du Gouvernement","DECRET EXECUTIF n° 21-179 — portant création de l'office national des wakfs et de la zakat et fixant son statut"
"DECRET EXECUTIF n° 92-414 — relatif au contrôle préalable des dépenses engagées","DECRET EXECUTIF n° 21-179 — portant création de l'office national des wakfs et de la zakat et fixant son statut"
"DECRET EXECUTIF n° 2000-146 — portant organisation de l'administration centrale du ministère des affaires religieuses et des Habous","DECRET EXECUTIF n° 21-179 — portant création de l'office national des wakfs et de la zakat et fixant son statut"
"ARRETE — portant désignation des membres de la commission sectorielle des marchés publics du ministère du travail, de l'emploi et de la sécurité sociale","ARRETE — modifiant l'arrêté du 8 Ramadhan 1440 correspondant au 13 mai 2019 portant désignation des membres de la commission sectorielle des marchés publics du ministère du travail, de l'emploi et de la sécurité sociale"
"ARRETE — fixant la liste nominative des membres du comité sectoriel permanent de la recherche scientifique et du développement technologique auprès du ministère des relations avec le Parlement","ARRETE — modifiant l'arrêté du 9 Moharram 1438 correspondant au 11 octobre 2016 fixant la liste nominative des membres du comité sectoriel permanent de la recherche scientifique et du développement technologique auprès du ministère des relations avec le Parlement"
